parameter,K,PIC.variance.obs,PIC.variance.rnd.mean,PIC.variance.P,PIC.variance.Z
dur,0.7350428658919415,0.0011272099882671336,0.004152413297188029,0.0053994600539946005,-1.769108124900191
df,0.6418652957817889,16689.364044339578,56071.236980388625,0.0030996900309969004,-1.5421293674099719
ci,0.6905717409055254,23.48022180881697,73.54116545792311,0.0170982901709829,-1.1307051424095147
pn,0.5353138386024735,0.963598457225036,2.702222879042607,0.017298270172982702,-1.2949696790508718
pr,0.7942705454651324,198.2397962893923,736.4666021126734,0.0038996100389961006,-1.7256982282226725
pl,0.5663970465893229,3.2893722849469715e-6,9.146027464624525e-6,0.0263973602639736,-1.5231138431741817
BS,1.1608703760162449,11.44188438727314,41.06192140731616,4.999500049995e-4,-2.440946774620937
